1_tensor(0.7021, device='cuda:0')
2_tensor(0.7728, device='cuda:0')
3_tensor(0.8119, device='cuda:0')
4_tensor(0.8426, device='cuda:0')
5_tensor(0.8527, device='cuda:0')
6_tensor(0.8651, device='cuda:0')
7_tensor(0.8748, device='cuda:0')
8_tensor(0.8752, device='cuda:0')
9_tensor(0.8774, device='cuda:0')
10_tensor(0.8846, device='cuda:0')
11_tensor(0.8853, device='cuda:0')
12_tensor(0.8866, device='cuda:0')
13_tensor(0.8872, device='cuda:0')
14_tensor(0.8879, device='cuda:0')
15_tensor(0.8853, device='cuda:0')
16_tensor(0.8898, device='cuda:0')
17_tensor(0.8898, device='cuda:0')
18_tensor(0.8875, device='cuda:0')
19_tensor(0.8885, device='cuda:0')
20_tensor(0.8905, device='cuda:0')
21_tensor(0.8898, device='cuda:0')
22_tensor(0.8895, device='cuda:0')
23_tensor(0.8915, device='cuda:0')
24_tensor(0.8921, device='cuda:0')
25_tensor(0.8918, device='cuda:0')
26_tensor(0.8934, device='cuda:0')
27_tensor(0.8889, device='cuda:0')
28_tensor(0.8931, device='cuda:0')
29_tensor(0.8934, device='cuda:0')
30_tensor(0.8931, device='cuda:0')
31_tensor(0.8947, device='cuda:0')
32_tensor(0.8931, device='cuda:0')
33_tensor(0.8941, device='cuda:0')
34_tensor(0.8924, device='cuda:0')
35_tensor(0.8924, device='cuda:0')
36_tensor(0.8915, device='cuda:0')
37_tensor(0.8918, device='cuda:0')
38_tensor(0.8911, device='cuda:0')
39_tensor(0.8908, device='cuda:0')
40_tensor(0.8908, device='cuda:0')
41_tensor(0.8902, device='cuda:0')
42_tensor(0.8921, device='cuda:0')
43_tensor(0.8918, device='cuda:0')
44_tensor(0.8928, device='cuda:0')
45_tensor(0.8924, device='cuda:0')
46_tensor(0.8908, device='cuda:0')
47_tensor(0.8915, device='cuda:0')
48_tensor(0.8928, device='cuda:0')
49_tensor(0.8915, device='cuda:0')
50_tensor(0.8924, device='cuda:0')
51_tensor(0.8924, device='cuda:0')
52_tensor(0.8921, device='cuda:0')
53_tensor(0.8924, device='cuda:0')
54_tensor(0.8905, device='cuda:0')
55_tensor(0.8941, device='cuda:0')
56_tensor(0.8950, device='cuda:0')
57_tensor(0.8937, device='cuda:0')
58_tensor(0.8921, device='cuda:0')
59_tensor(0.8944, device='cuda:0')
60_tensor(0.8934, device='cuda:0')
