epoch,accuracy,accuracy_percent
1,0.7021,70.21
2,0.7728,77.28
3,0.8119,81.19
4,0.8426,84.26
5,0.8527,85.27
6,0.8651,86.50999999999999
7,0.8748,87.48
8,0.8752,87.52
9,0.8774,87.74
10,0.8846,88.46000000000001
11,0.8853,88.53
12,0.8866,88.66000000000001
13,0.8872,88.72
14,0.8879,88.79
15,0.8853,88.53
16,0.8898,88.98
17,0.8898,88.98
18,0.8875,88.75
19,0.8885,88.85
20,0.8905,89.05
21,0.8898,88.98
22,0.8895,88.94999999999999
23,0.8915,89.14999999999999
24,0.8921,89.21
25,0.8918,89.18
26,0.8934,89.34
27,0.8889,88.89
28,0.8931,89.31
29,0.8934,89.34
30,0.8931,89.31
31,0.8947,89.47
32,0.8931,89.31
33,0.8941,89.41
34,0.8924,89.24
35,0.8924,89.24
36,0.8915,89.14999999999999
37,0.8918,89.18
38,0.8911,89.11
39,0.8908,89.08
40,0.8908,89.08
41,0.8902,89.02
42,0.8921,89.21
43,0.8918,89.18
44,0.8928,89.28
45,0.8924,89.24
46,0.8908,89.08
47,0.8915,89.14999999999999
48,0.8928,89.28
49,0.8915,89.14999999999999
50,0.8924,89.24
51,0.8924,89.24
52,0.8921,89.21
53,0.8924,89.24
54,0.8905,89.05
55,0.8941,89.41
56,0.895,89.5
57,0.8937,89.37
58,0.8921,89.21
59,0.8944,89.44 
60,0.8934,89.34
